,ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,Density
0,0,0.43,7,18,36,95,1054
1,0,0.1,7,17,80,95,598
2,0,0.33,7,3,36,76,4172
3,0,0.56,5,4,73,52,15
4,0,0.27,8,0,37,50,3021
5,0,1.0,8,7,33,56,45
6,0,1.0,7,15,39,50,515
7,0,0.08,7,5,46,50,6736
8,0,0.06,10,14,38,50,164
9,0,0.26,4,6,21,95,1284
10,0,1.0,6,7,35,50,78
11,0,1.0,5,15,28,85,229
12,0,0.85,7,3,36,50,169
13,0,0.13,7,11,48,50,1871
14,0,1.0,6,4,50,50,4762
15,0,1.0,6,5,72,50,94
16,0,0.46,4,12,34,50,91
17,0,0.5,8,2,35,50,824
18,0,1.0,6,2,55,50,104
19,0,0.18,8,5,36,50,38
20,0,0.33,8,1,53,50,31
21,0,0.49,9,12,45,50,12
22,0,0.54,7,4,38,95,46
23,0,0.03,6,3,47,50,824
24,0,1.0,8,12,54,50,11
25,0,0.08,6,3,27,64,121
26,0,0.49,4,1,23,100,185
27,0,0.66,5,13,45,50,29
28,0,1.0,5,14,50,50,1199
29,0,1.0,7,18,56,50,13
30,0,0.3,4,15,37,50,1313
31,0,0.66,7,19,29,68,831
32,0,0.27,12,5,56,55,663
33,0,0.54,6,5,41,50,96
34,0,0.53,6,2,37,60,4128
35,0,0.82,4,1,79,50,393
36,1,0.78,4,3,50,50,4128
37,0,0.45,4,13,36,54,75
38,0,0.08,6,5,70,50,61
39,0,0.75,7,11,53,50,346
40,0,0.005464481,9,3,27,50,19
41,0,0.03,4,1,77,50,4762
42,0,1.0,6,16,48,76,657
43,0,1.0,10,1,53,50,306
44,0,0.78,5,2,45,50,3019
45,0,0.49,6,0,44,50,157
46,0,1.0,9,19,39,50,416
47,0,0.21,7,8,45,57,1286
48,0,0.7,5,0,36,50,82
49,0,0.66,6,10,25,118,2399
50,0,0.35,8,1,69,50,721
51,0,0.15,8,2,50,67,3301
52,0,0.58,8,12,61,50,3317
53,0,1.0,4,9,35,50,43
54,0,0.37,10,16,38,51,138
55,0,0.58,6,17,42,52,48
56,0,0.21,4,11,51,50,4059
57,0,0.75,11,1,80,50,658
58,0,0.08,4,0,57,72,3317
59,0,1.0,7,1,54,50,59
60,0,0.47,7,12,40,90,451
61,0,1.0,6,8,40,58,68
62,0,1.0,7,5,56,50,1448
63,0,1.0,5,16,42,50,122
64,2,1.0,7,1,50,50,511
65,0,1.0,6,6,69,50,634
66,0,0.74,4,4,28,68,8455
67,0,0.08,8,13,41,50,83
68,0,0.07,7,15,49,80,233
69,0,1.0,6,9,42,50,1054
70,0,0.44,7,17,21,95,1313
71,0,0.21,7,10,47,50,405
72,0,1.0,5,4,58,50,1535
73,0,1.0,5,15,29,57,8549
74,0,1.0,6,8,33,57,82
75,0,0.08,6,8,35,50,21
76,0,1.0,7,8,55,50,9307
77,0,0.13,8,5,38,64,1629
78,0,0.12,10,4,67,50,1662
79,0,0.08,9,11,33,50,179
80,0,0.26,7,1,43,50,579
81,0,1.0,7,7,53,50,119
82,0,0.48,7,1,53,50,562
83,0,0.14,8,13,46,68,1381
84,1,0.06,4,0,52,55,5433
85,0,0.06,6,8,66,60,745
86,0,1.0,6,22,58,50,44
87,0,1.0,7,8,40,50,22
88,1,0.08,6,2,49,95,824
89,0,0.26,5,1,24,95,15
90,0,0.29,5,6,28,60,776
91,0,0.16,4,3,45,50,53
92,0,0.34,14,10,31,80,4116
93,0,0.75,6,15,28,57,27
94,0,0.08,9,8,45,50,160
95,0,0.41,6,2,54,50,27000
96,0,1.0,10,11,40,58,522
97,1,1.0,6,6,44,62,10
98,0,0.37,6,1,46,76,6681
99,0,0.1,6,8,25,76,186
100,0,0.02,5,15,54,64,979
101,0,1.0,5,1,47,50,35
102,0,1.0,4,12,61,50,28
103,0,1.0,6,8,59,90,144
104,0,0.46,10,2,58,50,112
105,0,0.16,6,6,31,64,125
106,0,0.05,7,0,39,51,276
107,0,0.8,5,20,45,50,3457
108,0,0.12,4,14,63,90,4762
109,0,0.08,5,13,39,50,152
110,0,0.03,8,0,60,50,32
111,0,1.0,12,7,39,55,259
112,0,0.09,10,10,60,50,5877
113,0,0.24,6,15,39,50,1101
114,0,0.29,5,1,33,57,2472
115,0,0.74,9,13,40,51,178
116,0,0.24,7,8,35,54,181
117,0,0.88,6,2,47,50,113
118,0,0.31,9,10,28,60,24
119,0,1.0,11,4,53,50,796
120,0,1.0,5,6,41,50,169
121,0,1.0,6,12,41,50,10
122,0,0.01,5,7,32,76,139
123,0,1.0,6,1,60,50,1313
124,0,0.41,6,7,62,80,51
125,0,0.4,7,19,64,68,5449
126,0,1.0,5,10,35,54,722
127,0,0.24,4,6,76,50,48
128,0,0.36,5,2,30,54,828
129,0,0.78,5,3,58,50,48
130,0,0.57,6,12,36,76,3317
131,0,0.49,4,11,61,50,75
132,0,1.0,6,12,44,50,197
133,1,1.0,7,7,82,62,821
134,0,1.0,5,19,81,50,4116
135,0,1.0,5,4,57,50,12
136,0,1.0,6,14,53,50,1397
137,0,0.55,6,17,39,50,65
138,0,0.78,4,2,27,76,4479
139,0,0.58,5,6,46,50,566
140,0,0.5,6,4,45,66,263
141,0,0.19,4,0,31,64,56
142,0,0.57,5,13,49,50,209
143,0,1.0,5,5,46,64,747
144,0,1.0,6,8,59,50,283
145,0,0.18,11,0,51,50,595
146,0,1.0,4,6,31,50,2103
147,0,0.12,5,2,45,50,214
148,0,0.0054794520547945,10,13,33,93,220
149,0,1.0,10,4,40,50,8549
