,feature combination,R_squared
20,VehBrand_B12 and VehPower,0.03169078934230183
1,BonusMalus and VehAge,0.031271662760843144
14,VehAge and VehBrand_B12,0.03120105411094041
6,BonusMalus and Density,0.03118760362776778
3,BonusMalus and DrivAge,0.03118428674825948
5,BonusMalus and VehGas_Regular,0.03114387835119381
13,VehAge and VehAge,0.031092230869487092
18,VehBrand_B12 and VehBrand_B12,0.031092230869487092
22,DrivAge and DrivAge,0.031092230869487092
31,Density and Density,0.031092230869487092
26,VehPower and VehPower,0.031092230869487092
7,Exposure and Exposure,0.031092230869487092
29,VehGas_Regular and VehGas_Regular,0.031092230869487092
25,DrivAge and Density,0.031033598866867563
21,VehBrand_B12 and Density,0.030960624177528363
11,Exposure and VehGas_Regular,0.030939539644791035
19,VehBrand_B12 and DrivAge,0.030860049854761894
24,DrivAge and VehGas_Regular,0.030845423359666713
17,VehAge and Density,0.030765955093926413
12,Exposure and Density,0.030708618526744003
28,VehPower and Density,0.030581939195426268
16,VehAge and VehGas_Regular,0.030564809899410284
4,BonusMalus and VehPower,0.03055937483851625
10,Exposure and VehPower,0.030533678212426207
30,VehGas_Regular and Density,0.030498576304051773
15,VehAge and VehPower,0.0303769511530561
2,BonusMalus and VehBrand_B12,0.03034250975174413
27,VehPower and VehGas_Regular,0.030308504723644304
23,DrivAge and VehPower,0.030138551226990384
0,BonusMalus and Exposure,0.030051713193916883
9,Exposure and DrivAge,0.02915151965362315
8,Exposure and VehBrand_B12,0.02901323691268478
