,feature,importance,std
4,BonusMalus,0.0026277301294655047,0.00010560688099703312
0,Exposure,0.0023475626754123125,0.00014676069707867835
2,VehAge,0.0011410421301075266,0.00012653497765407955
9,VehBrand_B12,0.0008295641232224009,7.285399902368346e-05
1,VehPower,0.0007094655262256725,5.739692161476879e-05
3,DrivAge,0.0006586157694406823,0.00012554975744120985
5,Density,6.912365116339248e-05,3.0105427964568996e-05
21,Region_R24,2.0737469257355726e-05,4.444613719891179e-05
10,VehBrand_B13,1.2586064422358128e-05,1.8406874190415548e-05
33,Region_R74,1.2219231479817518e-05,2.447733218001196e-05
29,Region_R53,1.0347029202683184e-05,1.673172395786563e-05
34,Region_R82,9.445344720723919e-06,5.779603186680987e-06
30,Region_R54,7.993241106993704e-06,1.6631486041862665e-05
7,VehBrand_B10,6.407816086971968e-06,1.1468455108977323e-05
19,Region_R22,5.897593261837697e-06,5.258339291265679e-06
36,Region_R91,4.174904499903571e-06,6.767797533916718e-06
38,Region_R94,3.906323359997854e-06,5.938584392705411e-06
24,Region_R31,3.20086335746067e-06,6.266637341229936e-06
22,Region_R25,2.5444544638032757e-06,5.11372411625797e-06
18,Region_R21,2.38085922932188e-06,9.627051966682606e-06
20,Region_R23,1.6557354603032039e-06,3.3114709206064078e-06
8,VehBrand_B11,1.3315957476596477e-06,1.2422858796767718e-05
23,Region_R26,9.135865890427809e-07,1.603687721128303e-06
11,VehBrand_B14,7.191372676798591e-07,2.5814284279379355e-06
32,Region_R73,5.541693522678747e-07,1.1083387045357494e-06
31,Region_R72,1.2597894333235553e-07,6.119953984794654e-07
37,Region_R93,0.0,0.0
35,Region_R83,0.0,0.0
12,VehBrand_B2,-7.902684595605993e-10,2.0575842461154042e-06
14,VehBrand_B4,-2.649834176537968e-07,5.299668353075936e-07
25,Region_R41,-3.261392186518219e-07,8.537231488783291e-07
6,VehBrand_B1,-8.54804225890321e-07,1.489556622565623e-06
13,VehBrand_B3,-1.113450567354207e-06,3.65332711733668e-06
15,VehBrand_B5,-1.6223620514010938e-06,5.138853693008206e-06
27,Region_R43,-2.279574616568663e-06,1.0798228967513854e-05
28,Region_R52,-2.326142599712866e-06,3.387807739758746e-06
17,Region_R11,-2.437144314975659e-06,6.395677314792704e-06
16,VehBrand_B6,-3.7926523969923633e-06,7.4628433913787714e-06
26,Region_R42,-6.492485417299851e-06,3.1374817797587226e-05
