,Number of features,R_squared
18,8,0.03185622786670643
13,13,0.031244585996679675
14,12,0.031223485383019868
15,11,0.031128250238718215
16,10,0.031118731211487803
17,9,0.031092230869487092
12,14,0.03101804936613972
11,15,0.030987380962866906
10,16,0.030957971134223917
1,25,0.03070535670018708
2,24,0.03067529757232157
6,20,0.030667198523444704
0,26,0.030629496580801628
7,19,0.03062772212174476
5,21,0.030613673362192208
3,23,0.030589152471945092
4,22,0.03058626471940673
9,17,0.030492402983386735
8,18,0.03045969015655321
19,7,0.028629605019612626
20,6,0.02468727032310647
21,5,0.02419970995534908
22,4,0.022054952392702453
23,3,0.018803414105117676
24,2,0.007861230759603122
25,1,-1.7781699930274896e-07
