,feature combination,R_squared
20,VehBrand_B12 and VehPower,0.03179832930117297
23,DrivAge and VehPower,0.03166644380895187
8,Exposure and VehBrand_B12,0.031420511618855104
3,BonusMalus and DrivAge,0.031391738549129265
16,VehAge and VehGas_Regular,0.03126529069874138
6,BonusMalus and Density,0.031218166440091323
27,VehPower and VehGas_Regular,0.031172128684156954
24,DrivAge and VehGas_Regular,0.031125570512921863
13,VehAge and VehAge,0.031092230869487092
29,VehGas_Regular and VehGas_Regular,0.031092230869487092
26,VehPower and VehPower,0.031092230869487092
22,DrivAge and DrivAge,0.031092230869487092
18,VehBrand_B12 and VehBrand_B12,0.031092230869487092
31,Density and Density,0.031092230869487092
7,Exposure and Exposure,0.031092230869487092
21,VehBrand_B12 and Density,0.03108884485848127
11,Exposure and VehGas_Regular,0.03107551703493159
9,Exposure and DrivAge,0.03099711567534098
2,BonusMalus and VehBrand_B12,0.030929543299955498
15,VehAge and VehPower,0.030907068047963414
14,VehAge and VehBrand_B12,0.030892088127954565
30,VehGas_Regular and Density,0.030641502574285995
4,BonusMalus and VehPower,0.030603831252085302
1,BonusMalus and VehAge,0.030583149005426226
28,VehPower and Density,0.03055679699551155
5,BonusMalus and VehGas_Regular,0.03042107370041225
10,Exposure and VehPower,0.030384029324945015
12,Exposure and Density,0.03036492746065409
25,DrivAge and Density,0.030322030592554138
17,VehAge and Density,0.03027739999392547
19,VehBrand_B12 and DrivAge,0.03014381263522068
0,BonusMalus and Exposure,0.030107052114215403
