ClaimNb,BonusMalus,Exposure,VehAge,VehBrand_B12,DrivAge,VehPower,VehGas_Regular,Density
0,95,0.43,18,0,36,7,1,1054
0,95,0.1,17,0,80,7,1,598
0,76,0.33,3,0,36,7,1,4172
0,52,0.56,4,0,73,5,0,15
0,50,0.27,0,0,37,8,0,3021
0,56,1.0,7,0,33,8,0,45
0,50,1.0,15,0,39,7,0,515
0,50,0.08,5,0,46,7,1,6736
0,50,0.06,14,0,38,10,0,164
0,95,0.26,6,0,21,4,1,1284
0,50,1.0,7,0,35,6,0,78
0,85,1.0,15,0,28,5,1,229
0,50,0.85,3,1,36,7,1,169
0,50,0.13,11,0,48,7,1,1871
0,50,1.0,4,0,50,6,1,4762
0,50,1.0,5,0,72,6,0,94
0,50,0.46,12,0,34,4,1,91
0,50,0.5,2,0,35,8,0,824
0,50,1.0,2,0,55,6,0,104
0,50,0.18,5,0,36,8,0,38
0,50,0.33,1,0,53,8,0,31
0,50,0.49,12,0,45,9,1,12
0,95,0.54,4,0,38,7,1,46
0,50,0.03,3,0,47,6,0,824
0,50,1.0,12,0,54,8,0,11
0,64,0.08,3,0,27,6,1,121
0,100,0.49,1,1,23,4,1,185
0,50,0.66,13,0,45,5,0,29
0,50,1.0,14,0,50,5,1,1199
0,50,1.0,18,0,56,7,0,13
0,50,0.3,15,0,37,4,1,1313
0,68,0.66,19,0,29,7,1,831
0,55,0.27,5,1,56,12,0,663
0,50,0.54,5,1,41,6,1,96
0,60,0.53,2,0,37,6,0,4128
0,50,0.82,1,0,79,4,1,393
1,50,0.78,3,1,50,4,1,4128
0,54,0.45,13,0,36,4,1,75
0,50,0.08,5,0,70,6,0,61
0,50,0.75,11,0,53,7,1,346
0,50,0.005464481,3,0,27,9,1,19
0,50,0.03,1,0,77,4,1,4762
0,76,1.0,16,0,48,6,1,657
0,50,1.0,1,0,53,10,1,306
0,50,0.78,2,1,45,5,0,3019
0,50,0.49,0,1,44,6,1,157
0,50,1.0,19,0,39,9,1,416
0,57,0.21,8,0,45,7,1,1286
0,50,0.7,0,1,36,5,0,82
0,118,0.66,10,0,25,6,0,2399
0,50,0.35,1,1,69,8,0,721
0,67,0.15,2,1,50,8,0,3301
0,50,0.58,12,0,61,8,0,3317
0,50,1.0,9,0,35,4,1,43
0,51,0.37,16,0,38,10,1,138
0,52,0.58,17,0,42,6,1,48
0,50,0.21,11,0,51,4,1,4059
0,50,0.75,1,0,80,11,1,658
0,72,0.08,0,1,57,4,1,3317
0,50,1.0,1,0,54,7,0,59
0,90,0.47,12,0,40,7,1,451
0,58,1.0,8,0,40,6,0,68
0,50,1.0,5,1,56,7,1,1448
0,50,1.0,16,0,42,5,0,122
2,50,1.0,1,0,50,7,1,511
0,50,1.0,6,0,69,6,0,634
0,68,0.74,4,1,28,4,0,8455
0,50,0.08,13,0,41,8,1,83
0,80,0.07,15,0,49,7,1,233
0,50,1.0,9,0,42,6,0,1054
0,95,0.44,17,0,21,7,1,1313
0,50,0.21,10,0,47,7,0,405
0,50,1.0,4,0,58,5,0,1535
0,57,1.0,15,0,29,5,0,8549
0,57,1.0,8,0,33,6,0,82
0,50,0.08,8,0,35,6,0,21
0,50,1.0,8,0,55,7,0,9307
