BonusMalus,Exposure,VehAge,VehBrand_B12,DrivAge,VehPower,VehGas_Regular,Density
95,0.43,18,0,36,7,1,1054
95,0.1,17,0,80,7,1,598
76,0.33,3,0,36,7,1,4172
52,0.56,4,0,73,5,0,15
50,0.27,0,0,37,8,0,3021
56,1.0,7,0,33,8,0,45
50,1.0,15,0,39,7,0,515
50,0.08,5,0,46,7,1,6736
50,0.06,14,0,38,10,0,164
95,0.26,6,0,21,4,1,1284
50,1.0,7,0,35,6,0,78
85,1.0,15,0,28,5,1,229
50,0.85,3,1,36,7,1,169
50,0.13,11,0,48,7,1,1871
50,1.0,4,0,50,6,1,4762
50,1.0,5,0,72,6,0,94
50,0.46,12,0,34,4,1,91
50,0.5,2,0,35,8,0,824
50,1.0,2,0,55,6,0,104
50,0.18,5,0,36,8,0,38
50,0.33,1,0,53,8,0,31
50,0.49,12,0,45,9,1,12
95,0.54,4,0,38,7,1,46
50,0.03,3,0,47,6,0,824
50,1.0,12,0,54,8,0,11
64,0.08,3,0,27,6,1,121
100,0.49,1,1,23,4,1,185
50,0.66,13,0,45,5,0,29
50,1.0,14,0,50,5,1,1199
50,1.0,18,0,56,7,0,13
50,0.3,15,0,37,4,1,1313
68,0.66,19,0,29,7,1,831
55,0.27,5,1,56,12,0,663
50,0.54,5,1,41,6,1,96
60,0.53,2,0,37,6,0,4128
50,0.82,1,0,79,4,1,393
50,0.78,3,1,50,4,1,4128
54,0.45,13,0,36,4,1,75
50,0.08,5,0,70,6,0,61
50,0.75,11,0,53,7,1,346
50,0.005464481,3,0,27,9,1,19
50,0.03,1,0,77,4,1,4762
76,1.0,16,0,48,6,1,657
50,1.0,1,0,53,10,1,306
50,0.78,2,1,45,5,0,3019
50,0.49,0,1,44,6,1,157
50,1.0,19,0,39,9,1,416
57,0.21,8,0,45,7,1,1286
50,0.7,0,1,36,5,0,82
118,0.66,10,0,25,6,0,2399
50,0.35,1,1,69,8,0,721
67,0.15,2,1,50,8,0,3301
50,0.58,12,0,61,8,0,3317
50,1.0,9,0,35,4,1,43
