ClaimNb,Exposure,VehPower,VehAge,DrivAge,BonusMalus,Density
0,0.43,7,18,36,95,1054
0,0.1,7,17,80,95,598
0,0.33,7,3,36,76,4172
0,0.56,5,4,73,52,15
0,0.27,8,0,37,50,3021
0,1.0,8,7,33,56,45
0,1.0,7,15,39,50,515
0,0.08,7,5,46,50,6736
0,0.06,10,14,38,50,164
0,0.26,4,6,21,95,1284
0,1.0,6,7,35,50,78
0,1.0,5,15,28,85,229
0,0.85,7,3,36,50,169
0,0.13,7,11,48,50,1871
0,1.0,6,4,50,50,4762
0,1.0,6,5,72,50,94
0,0.46,4,12,34,50,91
0,0.5,8,2,35,50,824
0,1.0,6,2,55,50,104
0,0.18,8,5,36,50,38
0,0.33,8,1,53,50,31
0,0.49,9,12,45,50,12
0,0.54,7,4,38,95,46
0,0.03,6,3,47,50,824
0,1.0,8,12,54,50,11
0,0.08,6,3,27,64,121
0,0.49,4,1,23,100,185
0,0.66,5,13,45,50,29
0,1.0,5,14,50,50,1199
0,1.0,7,18,56,50,13
0,0.3,4,15,37,50,1313
0,0.66,7,19,29,68,831
0,0.27,12,5,56,55,663
0,0.54,6,5,41,50,96
0,0.53,6,2,37,60,4128
0,0.82,4,1,79,50,393
1,0.78,4,3,50,50,4128
0,0.45,4,13,36,54,75
0,0.08,6,5,70,50,61
0,0.75,7,11,53,50,346
0,0.005464481,9,3,27,50,19
0,0.03,4,1,77,50,4762
0,1.0,6,16,48,76,657
0,1.0,10,1,53,50,306
0,0.78,5,2,45,50,3019
0,0.49,6,0,44,50,157
0,1.0,9,19,39,50,416
0,0.21,7,8,45,57,1286
0,0.7,5,0,36,50,82
0,0.66,6,10,25,118,2399
0,0.35,8,1,69,50,721
0,0.15,8,2,50,67,3301
0,0.58,8,12,61,50,3317
0,1.0,4,9,35,50,43
0,0.37,10,16,38,51,138
0,0.58,6,17,42,52,48
0,0.21,4,11,51,50,4059
0,0.75,11,1,80,50,658
0,0.08,4,0,57,72,3317
0,1.0,7,1,54,50,59
0,0.47,7,12,40,90,451
0,1.0,6,8,40,58,68
0,1.0,7,5,56,50,1448
0,1.0,5,16,42,50,122
2,1.0,7,1,50,50,511
0,1.0,6,6,69,50,634
0,0.74,4,4,28,68,8455
0,0.08,8,13,41,50,83
0,0.07,7,15,49,80,233
0,1.0,6,9,42,50,1054
0,0.44,7,17,21,95,1313
0,0.21,7,10,47,50,405
0,1.0,5,4,58,50,1535
0,1.0,5,15,29,57,8549
0,1.0,6,8,33,57,82
0,0.08,6,8,35,50,21
